# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
LINC02331,0.000,0.017,1.103e-8
RP11-286N22.10,0.000,0.017,1.109e-8
P2RX6P,0.000,0.017,1.122e-8
PDXK,0.004,0.017,1.081e-8
LA16c-358B7.4,0.000,0.017,1.140e-8
DSCC1,0.002,0.017,1.117e-8
RP3-324O17.8,0.000,0.017,1.149e-8
RP11-835E18.5,0.000,0.017,1.146e-8
LINC02147,0.001,0.017,1.136e-8
LINC02548,0.000,0.017,1.190e-8
LL22NC03-2H8.4,0.000,0.017,1.192e-8
PKHD1L1,0.001,0.017,1.172e-8
RP11-50D9.1,0.000,0.017,1.209e-8
ABT1,0.003,0.017,1.162e-8
SLC6A9,0.001,0.017,1.186e-8
PARP4,0.003,0.017,1.182e-8
RPS11P5,0.000,0.017,1.249e-8
LINC01257,0.001,0.017,1.245e-8
GRAMD2B,0.004,0.017,1.238e-8
CTD-2349P21.12,0.001,0.017,1.264e-8
LINC01249,0.000,0.017,1.293e-8
RP11-125O5.2,0.000,0.017,1.292e-8
RP11-1334A24.6,0.000,0.017,1.335e-8
AC008746.3,0.000,0.017,1.343e-8
SMYD3-AS1,0.000,0.017,1.349e-8
C2_ENSG00000166278,0.002,0.017,1.309e-8
EPHX4,0.001,0.017,1.335e-8
RP11-715J22.2,0.000,0.017,1.372e-8
NAV2-AS3,0.001,0.017,1.351e-8
NDE1,0.003,0.017,1.344e-8
DERL3,0.002,0.017,1.376e-8
TRARG1,0.001,0.017,1.434e-8
TUBB1,0.000,0.017,1.450e-8
RP1-167G20.2,0.000,0.017,1.491e-8
SLC5A2,0.001,0.017,1.482e-8
RP11-1149O23.4,0.000,0.017,1.508e-8
RP5-1087E8.3,0.000,0.017,1.529e-8
RP13-198D9.5,0.000,0.017,1.538e-8
SNX18,0.004,0.017,1.482e-8
CTC-276P9.3,0.000,0.017,1.558e-8
OR7E38P,0.000,0.017,1.548e-8
RP11-128A17.1,0.001,0.017,1.525e-8
CTA-126B4.7,0.000,0.017,1.561e-8
RP11-61O1.1,0.000,0.017,1.581e-8
LINC02302,0.000,0.017,1.592e-8
LINC00525,0.000,0.017,1.595e-8
RPS15AP24,0.000,0.017,1.608e-8
ZBBX,0.000,0.017,1.588e-8
OR4D10,0.000,0.017,1.611e-8
LINC00941_ENSG00000235884,0.000,0.017,1.612e-8
AC062028.1,0.000,0.017,1.623e-8
RP4-613A2.1,0.000,0.017,1.637e-8
DEFB123,0.000,0.017,1.645e-8
UGT2B15,0.000,0.017,1.647e-8
C10orf55,0.001,0.017,1.610e-8
RP11-348P10.2,0.001,0.017,1.619e-8
PWRN4,0.000,0.017,1.655e-8
DEFB119,0.000,0.017,1.650e-8
RP1-28O17.1,0.000,0.017,1.662e-8
WDR87BP,0.000,0.017,1.689e-8
RP11-333H8.1,0.000,0.017,1.747e-8
TFIP11-DT,0.001,0.017,1.714e-8
RP11-347J14.8,0.000,0.017,1.780e-8
GPR37,0.001,0.017,1.728e-8
ARL14EPL,0.000,0.017,1.802e-8
SLC19A1,0.002,0.017,1.775e-8
HTR3E-AS1,0.000,0.017,1.841e-8
XXbac-BPGBPG55C20.1,0.000,0.017,1.845e-8
RP11-34C15.2,0.000,0.017,1.883e-8
PDZD7,0.001,0.017,1.824e-8
SLA,0.001,0.017,1.829e-8
RP11-223C24.2,0.000,0.017,1.913e-8
LINC02156,0.000,0.017,1.923e-8
HERC2P9,0.000,0.017,1.933e-8
RP11-388C12.5,0.000,0.017,1.933e-8
RP4-657D16.6,0.001,0.017,1.902e-8
IGFBP7-AS1,0.001,0.017,1.920e-8
GPR62,0.000,0.017,1.985e-8
RP11-102J14.1,0.000,0.017,2.032e-8
OR5K1,0.000,0.017,2.042e-8
TENT5B,0.001,0.017,2.000e-8
STIM1-AS1,0.000,0.017,2.083e-8
RP11-275H4.1,0.000,0.017,2.144e-8
RP11-550H2.2,0.000,0.017,2.159e-8
TSIX,0.003,0.017,2.099e-8
RP11-95M15.1,0.000,0.017,2.205e-8
RP5-1113E3.3,0.000,0.017,2.264e-8
EML4-AS1,0.001,0.017,2.222e-8
CTD-3126B10.1,0.000,0.017,2.277e-8
PIEZO1P2,0.000,0.017,2.303e-8
LINC00705,0.000,0.017,2.278e-8
RP11-521B24.3,0.001,0.017,2.247e-8
DBR1,0.002,0.017,2.247e-8
SLAMF7,0.001,0.017,2.298e-8
ZNF705E,0.000,0.017,2.347e-8
TMEM156,0.001,0.017,2.302e-8
RP11-26O3.1,0.000,0.017,2.378e-8
RP11-303E16.2,0.000,0.017,2.418e-8
RP11-147L13.14,0.000,0.017,2.391e-8
DNAH8-AS1,0.000,0.017,2.428e-8
RP11-1060J15.7,0.000,0.017,2.416e-8
LINC01219,0.001,0.017,2.371e-8
LYZL4,0.000,0.017,2.427e-8
SIX5,0.003,0.017,2.349e-8
RP11-275E15.2,0.000,0.017,2.451e-8
AP000688.15,0.000,0.017,2.446e-8
RP11-793J2.1,0.000,0.017,2.444e-8
RP11-423H2.5,0.000,0.017,2.468e-8
RP1-138A5.3,0.000,0.017,2.479e-8
RP5-973N23.4,0.000,0.017,2.575e-8
RP11-165M1.3,0.000,0.017,2.568e-8
RP11-293N14.1,0.000,0.017,2.649e-8
LINC02238,0.000,0.017,2.684e-8
LINC02578,0.000,0.017,2.725e-8
LINC02236,0.000,0.017,2.736e-8
CNTN4-AS2,0.000,0.017,2.737e-8
C1QTNF9,0.001,0.017,2.702e-8
OR4F17,0.000,0.017,2.812e-8
AP000662.4,0.000,0.017,2.822e-8
LINC02520,0.000,0.017,2.827e-8
TRIM58,0.001,0.017,2.738e-8
C14orf28,0.002,0.017,2.724e-8
LINC00596,0.000,0.017,2.836e-8
ADGRG7,0.001,0.017,2.793e-8
LINC01446,0.001,0.017,2.867e-8
RP11-1084A12.2,0.000,0.017,2.911e-8
LINC02612,0.000,0.017,2.939e-8
RP11-756J15.3,0.000,0.017,2.954e-8
PLAC9P1,0.000,0.017,2.953e-8
RP11-396J6.1,0.000,0.017,2.924e-8
MS4A18,0.000,0.017,3.032e-8
RP11-398J12.1,0.000,0.017,3.059e-8
RP11-118H4.4,0.000,0.017,3.072e-8
LILRB2,0.000,0.016,3.077e-8
MRGPRX3,0.000,0.016,3.195e-8
RP11-275I4.1,0.000,0.016,3.235e-8
CCDC144B,0.000,0.016,3.245e-8
CTD-2235C13.2,0.000,0.016,3.284e-8
RP11-36C20.1,0.000,0.016,3.348e-8
LY6K,0.002,0.016,3.235e-8
FGGY-DT,0.000,0.016,3.367e-8
TFAP2E-AS1,0.000,0.016,3.342e-8
AC007078.4,0.000,0.016,3.356e-8
AC097713.3,0.000,0.016,3.429e-8
RP11-157J24.2,0.000,0.016,3.428e-8
CTD-2545M3.2,0.000,0.016,3.499e-8
RP1-302D9.3,0.000,0.016,3.498e-8
LINC01312,0.000,0.016,3.560e-8
AC007193.6,0.000,0.016,3.562e-8
MELK,0.001,0.016,3.532e-8
PLEKHA8P1,0.001,0.016,3.549e-8
LINC00518,0.000,0.016,3.626e-8
RP11-543H23.2,0.000,0.016,3.692e-8
RP11-10J21.5,0.000,0.016,3.711e-8
RP11-397C18.2,0.000,0.016,3.749e-8
CTD-3162L10.1,0.001,0.016,3.673e-8
RP11-164N3.3,0.000,0.016,3.753e-8
CTD-2162K18.3,0.000,0.016,3.773e-8
C11orf42,0.000,0.016,3.891e-8
RP11-108K14.8,0.000,0.016,3.873e-8
RP11-203F8.1,0.000,0.016,3.927e-8
OSTN,0.001,0.016,3.863e-8
LINC00638,0.001,0.016,3.897e-8
OSGEP,0.004,0.016,3.919e-8
RP11-393I2.4,0.001,0.016,3.984e-8
RP4-789D17.5,0.000,0.016,4.079e-8
CTXND1,0.001,0.016,3.983e-8
PDE9A-AS1,0.000,0.016,4.107e-8
LINC00588,0.000,0.016,4.127e-8
LINC00293,0.000,0.016,4.128e-8
RP11-717F1.1,0.000,0.016,4.168e-8
KLF17,0.000,0.016,4.162e-8
RP11-89N17.3,0.000,0.016,4.212e-8
AC022201.4,0.000,0.016,4.248e-8
RP11-446E24.4,0.000,0.016,4.234e-8
RP11-778J16.3,0.000,0.016,4.328e-8
GALP,0.000,0.016,4.307e-8
SUV39H2-DT,0.001,0.016,4.264e-8
OPALIN,0.000,0.016,4.424e-8
TBL3,0.003,0.016,4.307e-8
CLEC6A,0.000,0.016,4.489e-8
LINC01935,0.000,0.016,4.530e-8
THAP8,0.002,0.016,4.422e-8
HRH3,0.000,0.016,4.609e-8
ADAM2,0.000,0.016,4.621e-8
MAF1,0.008,0.016,4.445e-8
RP11-147L13.15,0.001,0.016,4.514e-8
LINC01566,0.000,0.016,4.705e-8
CTD-2353F22.1,0.001,0.016,4.570e-8
LINC00942,0.000,0.016,4.719e-8
IL10RB-DT,0.001,0.016,4.805e-8
AC005562.1,0.000,0.016,4.933e-8
LINC02251,0.000,0.016,4.926e-8
APOC3,0.000,0.016,4.960e-8
FAM171A1,0.003,0.016,4.892e-8
RP11-526H11.1,0.000,0.016,5.174e-8
RP11-115H15.2,0.000,0.016,5.196e-8
AC013436.5,0.000,0.016,5.264e-8
C17orf64,0.001,0.016,5.215e-8
RP4-778K6.3,0.001,0.016,5.262e-8
SYS1,0.003,0.016,5.168e-8
AC000111.6,0.000,0.016,5.387e-8
LINC02820,0.000,0.016,5.425e-8
bP-2171C21.3,0.000,0.016,5.506e-8
PACRG-AS1,0.000,0.016,5.559e-8
MIR4733HG,0.001,0.016,5.486e-8
RP11-62J1.4,0.000,0.016,5.606e-8
SMIM36,0.000,0.016,5.641e-8
Metazoa_SRP_ENSG00000203411,0.000,0.016,5.919e-8
FNDC8,0.000,0.016,5.952e-8
ACCSL,0.000,0.016,6.137e-8
RP11-719K4.6,0.000,0.016,6.216e-8
AC119403.1,0.000,0.016,6.295e-8
RP11-177J6.1,0.000,0.016,6.403e-8
BACH1-IT1,0.000,0.016,6.467e-8
RP3-405J10.3,0.000,0.016,6.509e-8
AC003973.4,0.000,0.016,6.534e-8
RP11-24P4.1,0.000,0.016,6.596e-8
RP11-1081L13.4,0.001,0.016,6.487e-8
CLMAT3,0.001,0.016,6.460e-8
LINC00620,0.001,0.016,6.534e-8
LAMC2,0.002,0.016,6.602e-8
RP11-338K13.1,0.000,0.016,6.867e-8
RP11-318A15.8,0.000,0.016,6.830e-8
CTA-212A2.2,0.000,0.016,6.810e-8
CTD-2366F13.2,0.000,0.016,6.885e-8
RP11-512N21.3,0.000,0.016,7.014e-8
AMER3,0.000,0.016,7.126e-8
LINC01793,0.000,0.016,7.116e-8
AL157902.3,0.000,0.016,7.270e-8
RP4-665J23.4,0.000,0.016,7.330e-8
CTD-2588J1.1,0.000,0.016,7.314e-8
GS1-304P7.3,0.000,0.016,7.314e-8
RP11-168K9.1,0.000,0.016,7.408e-8
RP11-97O12.7,0.000,0.016,7.431e-8
CTD-2575K13.8,0.000,0.016,7.528e-8
LL22NC03-80A10.6,0.000,0.016,7.601e-8
LINC02681,0.000,0.016,7.597e-8
LINC02437,0.000,0.016,7.674e-8
LINC01644,0.000,0.016,7.731e-8
TIPARP,0.006,0.016,7.557e-8
ARHGAP25,0.001,0.016,7.821e-8
LA16c-359F1.1,0.000,0.016,8.045e-8
NPSR1-AS1,0.000,0.016,8.214e-8
AF124730.4,0.000,0.016,8.224e-8
XIAP-AS1,0.001,0.016,8.136e-8
SIRPB2,0.000,0.016,8.226e-8
AP000473.6,0.000,0.016,8.305e-8
RP1-223B1.1,0.000,0.016,8.166e-8
RP11-162G10.5,0.001,0.016,8.144e-8
XPNPEP1,0.005,0.016,8.099e-8
RP11-287D1.2,0.000,0.016,8.335e-8
RP11-818C3.1,0.000,0.016,8.552e-8
LINC01842,0.001,0.016,8.369e-8
VPS33B,0.002,0.016,8.461e-8
TEX28,0.000,0.016,8.682e-8
RP11-69L16.5,0.000,0.016,8.873e-8
TMEM238,0.001,0.016,8.617e-8
CTD-2583P5.1,0.001,0.016,8.685e-8
RP3-340B19.2,0.000,0.016,9.030e-8
GRHL1,0.002,0.016,8.715e-8
RP11-244H3.5,0.001,0.016,8.797e-8
NECAB2,0.001,0.016,8.894e-8
LINC01882,0.000,0.016,9.084e-8
LINC02466,0.000,0.016,9.087e-8
RP11-361H10.7,0.000,0.016,9.245e-8
LINC00698,0.000,0.016,9.379e-8
DAXX,0.002,0.016,9.157e-8
LINC01901,0.000,0.016,9.325e-8
RP11-769O8.1,0.000,0.016,9.449e-8
CTD-2527I21.14,0.000,0.016,9.657e-8
RP11-367F23.1,0.001,0.016,9.532e-8
LINC00676,0.000,0.016,9.812e-8
PSKH2,0.000,0.016,9.893e-8
SLC30A10,0.002,0.016,9.665e-8
PLEKHF2,0.003,0.016,9.702e-8
MRAP-AS1,0.000,0.016,1.007e-7
STK32A,0.002,0.016,9.816e-8
RP11-221N13.2,0.000,0.016,1.022e-7
SLC46A2,0.000,0.016,1.016e-7
PPIL1,0.002,0.016,1.004e-7
AL157359.3,0.000,0.016,1.053e-7
XXyac-YR29IB3.1,0.000,0.016,1.043e-7
RP11-513I15.6,0.001,0.016,1.035e-7
ARR3,0.000,0.016,1.058e-7
RP3-518E13.2,0.000,0.016,1.075e-7
MGAT5,0.003,0.016,1.053e-7
LYAR,0.004,0.016,1.051e-7
AC084082.3,0.000,0.016,1.096e-7
LINC02118,0.000,0.016,1.111e-7
TMEM53,0.002,0.016,1.089e-7
RP11-145M9.5,0.000,0.016,1.124e-7
LINC01788,0.001,0.016,1.116e-7
RP11-189E14.5,0.000,0.016,1.150e-7
SLC35D2,0.002,0.016,1.114e-7
RP11-459O1.2,0.000,0.016,1.138e-7
PPT2-EGFL8,0.001,0.016,1.138e-7
RP11-392B6.1,0.000,0.016,1.170e-7
H1-8,0.000,0.016,1.169e-7
CTD-2514K5.4,0.000,0.016,1.178e-7
RP5-1039K5.16,0.000,0.016,1.204e-7
POLR1F,0.004,0.016,1.172e-7
AP001255.2,0.000,0.016,1.210e-7
RP11-20I20.2,0.001,0.016,1.196e-7
ADAD1,0.000,0.016,1.226e-7
LINC02444,0.001,0.016,1.204e-7
ENSG00000289019,0.000,0.016,1.226e-7
FGF12-AS1,0.000,0.016,1.230e-7
RP11-49G10.3,0.000,0.016,1.244e-7
LINC00474,0.000,0.016,1.259e-7
AC007192.4,0.000,0.016,1.273e-7
PRKCQ-AS1,0.001,0.016,1.249e-7
RP11-90J7.3,0.000,0.016,1.279e-7
AC098872.3,0.000,0.016,1.270e-7
TEX43,0.001,0.016,1.263e-7
RP11-463O12.5,0.000,0.016,1.282e-7
CTD-2021H9.2,0.000,0.016,1.292e-7
SOGA1,0.003,0.016,1.258e-7
LINC01624,0.000,0.016,1.292e-7
LINC02627,0.000,0.016,1.332e-7
SPN,0.001,0.016,1.298e-7
TMEM235,0.000,0.016,1.329e-7
RP11-12M5.1,0.000,0.016,1.336e-7
RP11-664I21.5,0.000,0.016,1.348e-7
CTD-2026K11.2,0.000,0.016,1.347e-7
RP4-549L20.3,0.001,0.016,1.325e-7
GRM8-AS1,0.000,0.016,1.366e-7
CLN3,0.002,0.016,1.357e-7
RP11-379F4.7,0.000,0.016,1.436e-7
RP11-394O4.3,0.000,0.016,1.430e-7
ILVBL-AS1,0.000,0.016,1.450e-7
RP11-133L19.2,0.000,0.016,1.478e-7
FAM187B,0.000,0.016,1.484e-7
SPATA12,0.001,0.016,1.469e-7
LINC01583,0.000,0.016,1.507e-7
RP11-435J9.2,0.000,0.016,1.524e-7
LINC01817,0.000,0.016,1.537e-7
HHLA1,0.000,0.016,1.542e-7
CTD-3006G17.2,0.000,0.016,1.547e-7
PRAMEF6,0.000,0.016,1.547e-7
LEMD1-AS1,0.000,0.016,1.565e-7
RP11-304F15.3,0.000,0.016,1.589e-7
RP11-832N8.1,0.000,0.016,1.613e-7
RP11-42O15.3,0.000,0.016,1.612e-7
CDSN,0.001,0.016,1.632e-7
LINC01722,0.000,0.016,1.684e-7
CAMKK2,0.004,0.016,1.640e-7
COMETT,0.000,0.016,1.701e-7
LINC00689,0.000,0.016,1.710e-7
LINC02654,0.000,0.016,1.740e-7
RP11-557C18.4,0.000,0.016,1.731e-7
AC026271.5,0.000,0.016,1.769e-7
SMIM28,0.000,0.016,1.772e-7
LINC01801,0.000,0.016,1.757e-7
LINC00251,0.000,0.016,1.801e-7
DDX53,0.000,0.016,1.782e-7
RP11-148K1.10,0.000,0.016,1.785e-7
RPSAP24,0.001,0.016,1.766e-7
WNT8A,0.000,0.016,1.822e-7
ABO,0.001,0.016,1.792e-7
CTD-2659N19.4,0.000,0.016,1.831e-7
FCRL1,0.000,0.016,1.808e-7
CLVS1,0.002,0.016,1.780e-7
LINC01858,0.000,0.016,1.839e-7
ITGAM,0.002,0.016,1.800e-7
PIP4K2C,0.002,0.016,1.799e-7
AZU1,0.000,0.016,1.823e-7
HTR5A,0.000,0.016,1.861e-7
RBPMS,0.006,0.016,1.805e-7
LINC02016,0.000,0.016,1.899e-7
KASH5,0.001,0.016,1.880e-7
RP11-403A3.2,0.000,0.016,1.924e-7
RP11-1022B3.1,0.000,0.016,1.928e-7
ALOX12B,0.001,0.016,1.895e-7
RP11-305F14.1,0.000,0.016,1.942e-7
STARD9,0.004,0.016,1.889e-7
RP11-123O1.1,0.000,0.016,1.956e-7
HEPACAM,0.000,0.016,1.943e-7
VSTM1,0.001,0.016,1.926e-7
BTK,0.001,0.016,1.928e-7
ITPKB-AS1,0.001,0.016,1.938e-7
CTD-2126E3.6,0.000,0.016,1.983e-7
RP11-767N6.7,0.000,0.016,1.996e-7
LINC00463,0.000,0.016,2.012e-7
NPIPB9,0.001,0.016,1.987e-7
RP11-501O2.3,0.000,0.016,2.058e-7
AC010894.3,0.000,0.016,2.040e-7
LINC02166,0.000,0.016,2.042e-7
RP11-67H2.1,0.000,0.016,2.081e-7
FBXO15,0.001,0.015,2.091e-7
ENSG00000289564,0.000,0.015,2.145e-7
LY6G6F-LY6G6D,0.000,0.015,2.143e-7
CTD-2050E21.1,0.000,0.015,2.158e-7
BPIFA2,0.000,0.015,2.175e-7
MGC32805,0.001,0.015,2.140e-7
GTSCR1,0.000,0.015,2.186e-7
AC144831.1,0.001,0.015,2.157e-7
C21orf91,0.002,0.015,2.175e-7
CTD-2072I24.1,0.000,0.015,2.257e-7
LINC00377,0.001,0.015,2.256e-7
SSBP3-AS1,0.000,0.015,2.283e-7
RP11-329E24.6,0.000,0.015,2.325e-7
RERG-AS1,0.000,0.015,2.305e-7
TAT-AS1,0.000,0.015,2.311e-7
AC005387.3,0.000,0.015,2.346e-7
MBOAT4,0.000,0.015,2.339e-7
RP11-267M23.4,0.001,0.015,2.314e-7
RP11-551L14.4,0.000,0.015,2.390e-7
RP11-445O16.3,0.000,0.015,2.429e-7
RP11-900F13.3,0.000,0.015,2.458e-7
CTA-305I2.1,0.000,0.015,2.509e-7
RP11-25I9.2,0.000,0.015,2.488e-7
TMUB1,0.004,0.015,2.456e-7
SIX2,0.002,0.015,2.482e-7
TMEM255A,0.002,0.015,2.484e-7
EEF1DP1,0.000,0.015,2.577e-7
RP11-594N15.3,0.000,0.015,2.585e-7
AC005786.5,0.000,0.015,2.582e-7
TMC4,0.001,0.015,2.522e-7
RP5-837J1.6,0.000,0.015,2.605e-7
RP5-901A4.1,0.000,0.015,2.646e-7
WT1,0.000,0.015,2.640e-7
CCDC42,0.000,0.015,2.655e-7
RP11-225H22.4,0.001,0.015,2.640e-7
LINC01477,0.000,0.015,2.745e-7
LINC02760,0.000,0.015,2.759e-7
RAP1BL,0.000,0.015,2.816e-7
RP11-370K11.1,0.000,0.015,2.898e-7
RP4-799O8.1,0.000,0.015,2.929e-7
RP11-486F17.1,0.000,0.015,2.984e-7
SERPINB11,0.000,0.015,2.964e-7
MIP,0.000,0.015,2.950e-7
P2RX7,0.002,0.015,2.924e-7
LINC00387,0.000,0.015,3.026e-7
OGFRP1,0.000,0.015,2.975e-7
RP11-461A8.1,0.000,0.015,3.029e-7
CTD-2582D11.1,0.000,0.015,3.045e-7
AC083884.8,0.000,0.015,3.061e-7
SMPD4BP,0.000,0.015,3.056e-7
AC007652.1,0.000,0.015,3.099e-7
CTD-2588C8.8,0.000,0.015,3.086e-7
RP11-521C20.5,0.000,0.015,3.184e-7
DEFB131B,0.000,0.015,3.195e-7
RP11-621B23.1,0.000,0.015,3.252e-7
ARRB1,0.002,0.015,3.224e-7
LILRB4,0.000,0.015,3.288e-7
PDE4DIPP1,0.000,0.015,3.344e-7
PROKR2,0.000,0.015,3.392e-7
AC011901.2,0.000,0.015,3.425e-7
SHISA8,0.000,0.015,3.438e-7
AC009158.1,0.000,0.015,3.476e-7
AC011625.1,0.000,0.015,3.464e-7
RP11-44N11.1,0.000,0.015,3.496e-7
RP11-89M20.2,0.000,0.015,3.501e-7
WI2-87327B8.2,0.000,0.015,3.539e-7
RP11-53O19.2,0.000,0.015,3.531e-7
RP1-90L6.3,0.001,0.015,3.574e-7
RP11-563D10.1,0.000,0.015,3.579e-7
FAM169A,0.001,0.015,3.566e-7
WWOX-AS1,0.000,0.015,3.613e-7
COPG2,0.004,0.015,3.534e-7
AL109761.5,0.000,0.015,3.670e-7
RP11-48D4.2,0.000,0.015,3.689e-7
CEACAM7,0.000,0.015,3.737e-7
NRXN2-AS1,0.000,0.015,3.787e-7
CTD-2026J24.1,0.000,0.015,3.812e-7
CLPS,0.000,0.015,3.854e-7
RP4-591C20.9,0.001,0.015,3.810e-7
IZUMO3,0.000,0.015,3.918e-7
CDH18-AS1,0.000,0.015,3.933e-7
AKAIN1,0.000,0.015,3.942e-7
AC064834.1,0.000,0.015,3.927e-7
RP11-615J4.3,0.000,0.015,3.990e-7
Z69666.2,0.001,0.015,3.989e-7
CCDC173,0.001,0.015,4.066e-7
RP11-307I14.5,0.000,0.015,4.189e-7
LCMT1-AS2,0.000,0.015,4.158e-7
LINC01103,0.000,0.015,4.233e-7
LUZP4,0.000,0.015,4.381e-7
HELZ-AS1,0.000,0.015,4.338e-7
AC074183.4,0.000,0.015,4.335e-7
CTD-2288O8.1,0.001,0.015,4.347e-7
CCDC59,0.006,0.015,4.429e-7
DISP3,0.000,0.015,4.548e-7
LINC02299,0.000,0.015,4.642e-7
HK2-DT,0.000,0.015,4.610e-7
RP11-574O7.1,0.000,0.015,4.623e-7
RNA5SP151,0.001,0.015,4.650e-7
RP11-1006G14.4,0.000,0.015,4.756e-7
RP11-103J17.1,0.000,0.015,4.737e-7
FAM131B,0.001,0.015,4.686e-7
RP11-121P12.1,0.000,0.015,4.768e-7
FAM135A-AS1,0.000,0.015,4.775e-7
LINC01792,0.000,0.015,4.863e-7
POP4,0.003,0.015,4.733e-7
CLEC3A,0.000,0.015,4.829e-7
RP11-594C13.2,0.000,0.015,4.929e-7
RP11-855O10.2,0.000,0.015,4.926e-7
RP11-107N15.1,0.001,0.015,4.811e-7
GS1-57L11.1,0.001,0.015,4.846e-7
RP11-905K4.1,0.000,0.015,4.950e-7
AC007395.3,0.000,0.015,5.005e-7
C14orf177,0.000,0.015,5.009e-7
RP11-193F5.1,0.000,0.015,5.039e-7
RP11-44H4.1,0.000,0.015,5.063e-7
LNCSRLR,0.001,0.015,4.969e-7
RP1-155D22.1,0.000,0.015,5.158e-7
LINC01648,0.000,0.015,5.162e-7
RP11-385M4.1,0.000,0.015,5.203e-7
RP11-314M24.1,0.000,0.015,5.235e-7
RP11-715J22.3,0.000,0.015,5.203e-7
LINC01853,0.000,0.015,5.348e-7
RP11-932O9.8,0.000,0.015,5.290e-7
AC016747.3,0.000,0.015,5.369e-7
SPACA5,0.000,0.015,5.413e-7
SLC22A15,0.002,0.015,5.344e-7
RP11-197M22.2,0.000,0.015,5.510e-7
EDRF1-AS1,0.001,0.015,5.406e-7
LACTBL1,0.000,0.015,5.594e-7
CTD-3220F14.1,0.000,0.015,5.524e-7
RP11-705C15.2,0.000,0.015,5.640e-7
ENSG00000278704.1,0.000,0.015,5.628e-7
ARHGAP9,0.001,0.015,5.567e-7
LINC01474,0.001,0.015,5.660e-7
LINC00412,0.000,0.015,5.715e-7
RP11-263K4.3,0.000,0.015,5.869e-7
CABP4,0.001,0.015,5.846e-7
FAXC,0.001,0.015,5.960e-7
RP11-381O7.3,0.000,0.015,6.161e-7
LINC01666,0.000,0.015,6.089e-7
U52112.13,0.000,0.015,6.196e-7
SLC18A1,0.000,0.015,6.151e-7
RP11-157P1.4,0.000,0.015,6.119e-7
SPTA1,0.000,0.015,6.199e-7
CCDC122,0.002,0.015,6.103e-7
RP11-171I2.2,0.000,0.015,6.265e-7
LINC01541,0.000,0.015,6.359e-7
RP11-8L21.1,0.000,0.015,6.538e-7
AC006538.4,0.000,0.015,6.522e-7
SGK2,0.001,0.015,6.405e-7
RP11-415G4.1,0.000,0.015,6.567e-7
FERMT1,0.001,0.015,6.500e-7
CTD-2201E18.3,0.000,0.015,6.655e-7
FLJ31104,0.001,0.015,6.618e-7
HOXA2,0.001,0.015,6.574e-7
INTS3,0.002,0.015,6.553e-7
LAIR2,0.000,0.015,6.688e-7
LINC02174,0.000,0.015,6.852e-7
RP11-445L13__B.3,0.000,0.015,6.831e-7
RPH3AL-AS1,0.000,0.015,6.945e-7
ATP1B3-AS1,0.000,0.015,6.890e-7
RP11-121C2.2,0.001,0.015,6.872e-7
RANBP1P1,0.000,0.015,7.115e-7
ZFPM1,0.002,0.015,6.890e-7
LINC02795,0.000,0.015,7.005e-7
RP11-201K10.3,0.000,0.015,7.323e-7
ADORA2B,0.002,0.015,7.171e-7
RP1-140A9.1,0.000,0.015,7.395e-7
LINC02521,0.000,0.015,7.554e-7
TBILA,0.000,0.015,7.502e-7
EGFEM1P,0.000,0.015,7.611e-7
LYZL6,0.000,0.015,7.807e-7
RP11-810P8.1,0.000,0.015,7.781e-7
RP5-894D12.5,0.000,0.015,7.743e-7
SATB1-AS1,0.000,0.015,7.755e-7
LINC02682,0.000,0.015,7.858e-7
RP5-1184F4.7,0.000,0.015,7.925e-7
LL0XNC01-237H1.2,0.001,0.015,7.755e-7
RP11-135A1.3,0.000,0.015,7.990e-7
OLIG1,0.000,0.015,7.915e-7
TCP10L3,0.000,0.015,8.305e-7
CPLX4,0.001,0.015,8.156e-7
DNMT3L,0.000,0.015,8.330e-7
RP11-136B18.2,0.000,0.015,8.344e-7
LINC01667,0.000,0.015,8.280e-7
KIAA1522,0.002,0.015,8.114e-7
AC011523.2,0.000,0.015,8.411e-7
RP11-582E3.4,0.000,0.015,8.607e-7
DPRX,0.000,0.015,8.555e-7
NLRP14,0.000,0.015,8.698e-7
TMEM196,0.000,0.015,8.746e-7
LINC01714,0.000,0.015,8.874e-7
RP11-399H11.3,0.000,0.015,8.942e-7
RP11-1396O13.23,0.000,0.015,8.992e-7
LINC02843,0.000,0.015,9.071e-7
BSPRY,0.000,0.015,8.981e-7
RP5-865N13.2,0.000,0.015,9.391e-7
RP11-418H16.1,0.000,0.015,9.310e-7
PAQR9-AS1,0.001,0.015,9.243e-7
NBPF6,0.000,0.015,9.486e-7
CCDC106,0.003,0.015,9.327e-7
RP11-1030E3.1,0.000,0.015,9.613e-7
RFX6,0.000,0.015,9.861e-7
LINC02210,0.000,0.015,1.001e-6
RP11-2G22.1,0.000,0.015,1.010e-6
ADGRE5,0.005,0.015,9.926e-7
CCL15-CCL14,0.000,0.015,1.023e-6
RP11-40C6.2,0.000,0.015,1.026e-6
LINC02549,0.000,0.015,1.031e-6
CTC-265F19.3,0.000,0.015,1.032e-6
